"date","source","leads_generated"
"2024-09-25",Test Drive,52
"2024-09-16",Chatbot,5
"2024-08-16",Chatbot,6
"2024-12-31",Test Drive,42
"2024-02-01",Chatbot,3
"2024-12-26",Toyota Offer,5
"2024-08-12",Test Drive,196
"2024-06-26",Toyota Offer,111
"2024-04-19",Online Sales,341
"2024-12-09",Twitter,3
"2024-05-25",Website,111
"2024-08-15",Motory Campaign,15
"2024-03-16",Toll Free,98
"2024-03-17",Twitter,11
"2024-02-27",Toll Free,221
"2024-11-04",Online Sales,308
"2024-03-20",Toyota Offer,76
"2024-12-25",Social Media - Campaign,117
"2024-04-16",Events,2
"2024-09-18",Toll Free,115
"2024-01-07",Mobile Applications-TSS,2
"2024-03-23",Facebook,1
"2024-05-29",Test Drive,53
"2024-10-31",Motory Campaign,182
"2024-11-26",Chatbot,1
"2024-06-20",Toyota Offer,38
"2024-03-27",Twitter,9
"2024-04-28",Chatbot,2
"2024-03-17",Instagram,5
"2024-11-05",Mobile Applications-TSS,1
"2024-07-23",Website,125
"2024-04-20",Twitter,4
"2024-01-21",Instagram,1
"2024-07-14",Toyota Offer,7
"2024-07-27",Online Sales,352
"2024-11-12",Website,98
"2024-09-19",Motory,50
"2024-08-28",Online Sales,856
"2024-03-10",Facebook,1
"2024-04-26",Toll Free,44
"2024-03-22",Website,120
"2024-08-04",Motory,95
"2024-09-21",Social Media - Campaign,14
"2024-10-31",Website,91
"2024-08-08",Online Sales,323
"2024-10-17",Motory,38
"2024-07-20",Instagram,1
"2024-08-26",Toll Free,299
"2024-02-27",Twitter,5
"2024-12-29",Toll Free,61
"2024-07-20",Facebook,1
"2024-07-07",Test Drive,53
"2024-06-21",Test Drive,47
"2024-08-10",Toyota Offer,125
"2024-01-21",Twitter,3
"2024-05-30",Facebook,1
"2024-09-28",Social Media - Campaign,18
"2024-08-20",Mobile Applications-TSS,2
"2024-02-25",Online Sales,392
"2024-12-30",Test Drive,80
"2024-07-22",Toll Free,181
"2024-03-21",Online Sales,463
"2024-12-21",Test Drive,30
"2024-08-29",Chatbot,4
"2024-07-24",Toll Free,180
"2024-05-21",Facebook,1
"2024-05-19",Social Media - Campaign,60
"2024-06-03",Motory,58
"2024-12-29",Website,166
"2024-01-02",Online Sales,392
"2024-12-21",Twitter,4
"2024-10-22",Website,127
"2024-01-14",Online Sales,367
"2024-09-28",Online Sales,435
"2024-01-16",Website,91
"2024-01-09",Motory,88
"2024-02-08",Motory,91
"2024-11-28",Online Sales,255
"2024-06-20",Motory,44
"2024-09-10",Test Drive,66
"2024-09-13",Test Drive,66
"2024-07-10",Test Drive,28
"2024-10-22",Chatbot,1
"2024-10-07",Chatbot,2
"2024-07-03",Motory,74
"2024-02-29",Toll Free,143
"2024-04-13",Chatbot,2
"2024-03-09",Facebook,1
"2024-01-17",Toyota Offer,41
"2024-01-07",Toyota Offer,13
"2024-06-07",Chatbot,2
"2024-03-15",Toll Free,34
"2024-12-25",Twitter,4
"2024-03-07",Website,105
"2024-09-14",Social Media - Campaign,89
"2024-02-01",Toll Free,128
"2024-11-27",Twitter,9
"2024-07-14",Motory,89
"2024-11-22",Website,68
"2024-07-15",Social Media - Campaign,106
"2024-06-02",Mobile Applications-TSS,1
"2024-09-29",Website,161
"2024-04-26",Motory,60
"2024-07-06",Twitter,5
"2024-01-04",Online Sales,385
"2024-08-11",Toll Free,273
"2024-01-15",Twitter,4
"2024-01-10",Toll Free,124
"2024-07-04",Website,108
"2024-06-02",Test Drive,38
"2024-07-16",Social Media - Campaign,97
"2024-03-14",Website,125
"2024-07-16",Test Drive,37
"2024-01-24",Motory,68
"2024-07-03",Chatbot,6
"2024-04-13",Mobile Applications-TSS,1
"2024-02-13",Toyota Offer,31
"2024-02-07",Online Sales,385
"2024-12-18",Chatbot,5
"2024-08-08",Motory Campaign,24
"2024-09-03",Social Media - Campaign,129
"2024-12-30",Social Media - Campaign,140
"2024-01-24",Online Sales,363
"2024-12-15",Motory Campaign,346
"2024-08-13",Motory,62
"2024-02-22",Instagram,1
"2024-02-28",Online Sales,385
"2024-12-29",Motory,35
"2024-05-19",Instagram,2
"2024-04-20",Social Media - Campaign,102
"2024-07-04",Social Media - Campaign,103
"2024-11-08",Toyota Offer,306
"2024-04-02",Online Sales,353
"2024-10-31",Test Drive,36
"2024-12-02",Motory,30
"2024-04-04",Toll Free,105
"2024-01-27",Motory,68
"2024-11-06",Motory,42
"2024-09-01",Yalla Motor,12
"2024-05-23",Motory,71
"2024-05-14",Events,1
"2024-10-31",Toll Free,53
"2024-09-04",Social Media - Campaign,176
"2024-10-01",Motory Campaign,2
"2024-04-17",Chatbot,2
"2024-11-27",Website,105
"2024-10-07",Motory,60
"2024-11-14",Toll Free,52
"2024-09-17",Website,147
"2024-01-25",Online Sales,338
"2024-01-08",Twitter,4
"2024-11-26",Motory Campaign,168
"2024-01-07",Toll Free,157
"2024-11-24",Chatbot,4
"2024-10-19",Instagram,3
"2024-09-05",Social Media - Campaign,42
"2024-05-13",Website,111
"2024-02-29",Toyota Offer,225
"2024-12-28",Test Drive,51
"2024-08-25",Instagram,2
"2024-05-26",Toll Free,189
"2024-06-01",Toyota Offer,13
"2024-01-23",Instagram,2
"2024-10-19",Toyota Offer,101
"2024-05-11",Toyota Offer,43
"2024-11-29",Toll Free,4
"2024-06-13",Test Drive,26
"2024-03-01",Online Sales,222
"2024-01-15",Toyota Offer,50
"2024-12-25",Website,127
"2024-10-02",Twitter,11
"2024-09-09",Chatbot,5
"2024-06-10",Website,70
"2024-04-15",Social Media - Campaign,64
"2024-10-07",Facebook,1
"2024-10-21",Toyota Offer,144
"2024-07-12",Motory,59
"2024-12-19",Social Media - Campaign,99
"2024-12-29",Twitter,4
"2024-12-23",Twitter,2
"2024-03-24",Toll Free,134
"2024-03-03",Instagram,1
"2024-09-12",Test Drive,72
"2024-09-01",Online Sales,478
"2024-05-30",Website,94
"2024-11-01",Test Drive,26
"2024-04-10",Social Media - Campaign,45
"2024-06-14",Test Drive,26
"2024-07-21",Toyota Offer,6
"2024-10-21",Social Media - Campaign,130
"2024-02-29",Motory,94
"2024-03-04",Twitter,5
"2024-07-30",Social Media - Campaign,70
"2024-05-23",Chatbot,5
"2024-08-28",Yalla Motor,81
"2024-08-07",Chatbot,2
"2024-02-25",Chatbot,2
"2024-12-18",Website,118
"2024-07-06",Chatbot,2
"2024-11-07",Twitter,8
"2024-10-15",Twitter,8
"2024-11-10",Toyota Offer,293
"2024-10-02",Website,77
"2024-09-08",Motory,68
"2024-05-31",Online Sales,329
"2024-09-11",Social Media - Campaign,70
"2024-12-11",Website,114
"2024-07-01",Twitter,35
"2024-12-05",Online Sales,194
"2024-06-20",Twitter,21
"2024-06-05",Mobile Applications-TSS,1
"2024-06-04",Toll Free,182
"2024-10-10",Website,112
"2024-01-22",Instagram,1
"2024-04-23",Online Sales,410
"2024-03-06",Chatbot,2
"2024-02-17",Toyota Offer,21
"2024-04-04",Facebook,2
"2024-05-30",Motory,57
"2024-04-17",Events,2
"2024-10-26",Toll Free,78
"2024-03-11",Website,101
"2024-07-29",Website,114
"2024-03-23",Website,153
"2024-09-07",Online Sales,456
"2024-07-25",Online Sales,334
"2024-08-24",Motory,43
"2024-07-11",Motory,80
"2024-05-07",Test Drive,25
"2024-12-09",Toll Free,53
"2024-07-26",Chatbot,2
"2024-03-11",Online Sales,368
